"ölmək","die"," verb"," intermediate"
"tibb","medical"," adjective"," intermediate"
"xəstəxana","hospital"," noun"," intermediate"
"kilsə","church"," noun"," intermediate"
"bağlamaq","close"," verb"," intermediate"
"min","thousand"," numeral"," intermediate"
"risk","risk"," noun"," intermediate"
"cari, hazırki","current"," adjective"," intermediate"
"atəş, yanğın","fire"," noun"," intermediate"
"gələcək","future"," noun"," intermediate"
"yanlış","wrong"," adjective"," intermediate"
"əhatə etmək, cəlb/daxil etmək","involve"," verb"," intermediate"
"müdafiə","defense"," noun"," intermediate"
"hər kəs","anyone"," pronoun"," intermediate"
"artmaq","increase"," verb"," intermediate"
"təhlükəsizlik","security"," noun"," intermediate"
"bank","bank"," noun"," intermediate"
"özüm","myself"," pronoun"," intermediate"
"əlbəttə","certainly"," adverb"," intermediate"
"qərb","west"," noun"," intermediate"
"idman","sport"," noun"," intermediate"
"lövhə","board"," noun"," intermediate"
"axtarmaq, istəmək","seek"," verb"," intermediate"
"hər, (saat/adam vs) başına","per"," preposition"," intermediate"
"mövzu, subyekt","subject"," noun"," intermediate"
"zabit, məmur","officer"," noun"," intermediate"
"xüsusi, özəl","private"," adjective"," intermediate"
"qalanı, istirahət","rest"," noun"," intermediate"
"davranış, rəftar","behavior"," noun"," intermediate"
"məşğul olmaq, uğraşmaq, paylamaq(kart)","deal"," verb"," intermediate"
"performans, çıxış(səhnədə)","performance"," noun"," intermediate"
"döyüşmək, mübarizə/mücadilə etmək","fight"," verb"," intermediate"
"tullamaq, atmaq","throw"," verb"," intermediate"
"üst, yuxarı","top"," noun"," intermediate"
"cəld, tez","quickly"," adverb"," intermediate"
"keçmiş","past"," adjective"," intermediate"
"məqsəd, qol(futbolda)","goal"," noun"," intermediate"
"ikinci","second"," noun"," intermediate"
"yataq, çarpayı","bed"," noun"," intermediate"
"sifariş, əmr, səliqə, qayda, nizam","order"," noun"," intermediate"
"müəllif","author"," noun"," intermediate"
"doldurmaq","fill"," verb"," intermediate"
"təmsil etmək","represent"," verb"," intermediate"
"diqqətini vermək, fokuslanmaq","focus"," verb"," intermediate"
"xarici","foreign"," adjective"," intermediate"
"düş(ürt)mək, salmaq, damcıla(t)maq","drop"," verb"," intermediate"
"plan","plan"," verb"," intermediate"
"qan","blood"," noun"," intermediate"
"üstündə, üzərində","upon"," preposition"," intermediate"
"agentlik","agency"," noun"," intermediate"
"itələmək, basmaq","push"," verb"," intermediate"
"təbiət","nature"," noun"," intermediate"
"rəng","color"," noun"," intermediate"
"yox, xeyr, heç, heç bir","no"," adverb"," intermediate"
"təzəlikcə","recently"," adverb"," intermediate"
"mağaza","store"," noun"," intermediate"
"azaltmaq, əskiltmək","reduce"," verb"," intermediate"
"səs","sound"," noun"," intermediate"
"qeyd","note"," verb"," intermediate"
"əla, gözəl","fine"," adjective"," intermediate"
"əvvəl","before"," adverb"," intermediate"
"yaxın","near"," preposition"," intermediate"
"hərəkət, hərəkat","movement"," noun"," intermediate"
"səhifə","page"," noun"," intermediate"
"daxil etmək/olmaq","enter"," verb"," intermediate"
"paylaşmaq, bölüşmək","share"," verb"," intermediate"
"-dan, daha","than"," preposition"," intermediate"
"ümumi, geniş yayılmış","common"," adjective"," intermediate"
"yoxsul, kasad, yazıq","poor"," adjective"," intermediate"
"digər, başqa","other"," pronoun"," intermediate"
"təbii","natural"," adjective"," intermediate"
"irq","race"," noun"," intermediate"
"narahatlıq","concern"," noun"," intermediate"
"seriya, sıra","series"," noun"," intermediate"
"əhəmiyyətli, önəmli","significant"," adjective"," intermediate"
"bənzər","similar"," adjective"," intermediate"
"isti","hot"," adjective"," intermediate"
"dil","language"," noun"," intermediate"
"hər","each"," pronoun"," intermediate"
"adətən","usually"," adverb"," intermediate"
"cavab","response"," noun"," intermediate"
"ölü","dead"," adjective"," intermediate"
"qalxmaq, yüksəlmək artmaq","rise"," verb"," intermediate"
"heyvan","animal"," noun"," intermediate"
"amil","factor"," noun"," intermediate"
"on il, onluq, dekada","decade"," noun"," intermediate"
"məqalə, maddə","article"," noun"," intermediate"
"atmaq, vurmaq (silahla), çəkmək (kamerayla)","shoot"," verb"," intermediate"
"şərq","east"," noun"," intermediate"
"saxlamaq, xilas etmək","save"," verb"," intermediate"
"yeddi","seven"," m"," intermediate"
"rəssam","artist"," noun"," intermediate"
"uzaq, kənar","away"," preposition"," intermediate"
"səhnə","scene"," noun"," intermediate"
"fond, ehtiyat","stock"," noun"," intermediate"
"karyera","career"," noun"," intermediate"
"baxmayaraq ki","despite"," preposition"," intermediate"
"  mərkəzi","central"," adjective"," intermediate"
"səkkiz","eight"," m"," intermediate"
"beləliklə","thus"," adverb"," intermediate"
"müalicə, rəftar, yanaşma","treatment"," noun"," intermediate"
"kənar, o yana, savayı","beyond"," preposition"," intermediate"
"xoşbəxt","happy"," adjective"," intermediate"
"dəqiq, eynilə","exactly"," adverb"," intermediate"
"qorumaq","protect"," verb"," intermediate"
"yanaşma, yaxınlaşma","approach"," noun"," intermediate"
"yalan","lie"," verb"," intermediate"
"ölçü, razmer","size"," noun"," intermediate"
"it","dog"," noun"," intermediate"
"fond, sərmayə","fund"," noun"," intermediate"
"ciddi","serious"," adjective"," intermediate"
"baş vermək","occur"," verb"," intermediate"
"media","media"," noun"," intermediate"
"hazır","ready"," adjective"," intermediate"
"işarə, imza, bürc, əlamət","sign"," noun"," intermediate"
"fikir, düşüncə","thought"," noun"," intermediate"
"siyahı","list"," noun"," intermediate"
"fərd","individual"," noun"," intermediate"
"sadə","simple"," adjective"," intermediate"
"keyfiyyət","quality"," noun"," intermediate"
"təzyiq","pressure"," noun"," intermediate"
"qəbul etmək","accept"," verb"," intermediate"
"cavab","answer"," noun"," intermediate"
"çətin, ağır, bərk","hard"," adverb"," intermediate"
"vəsait, resurs, imkan","resource"," noun"," intermediate"
"müəyyən etmək","identify"," verb"," intermediate"
"sol, buraxılmış","left"," adjective"," intermediate"
"görüş, yığıncaq","meeting"," noun"," intermediate"
"müəyyən/təyin etmək","determine"," verb"," intermediate"
"hazırlamaq","prepare"," verb"," intermediate"
"xəstəlik","disease"," noun"," intermediate"
"hər nə, nəysə","whatever"," determiner"," intermediate"
"uğur","success"," noun"," intermediate"
"mübahisə etmək","argue"," verb"," intermediate"
"fincan, kubok","cup"," noun"," intermediate"
"xüsusilə","particularly"," adverb"," intermediate"
"məbləğ, miqdar","amount"," noun"," intermediate"
"qabiliyyət","ability"," noun"," intermediate"
"əməkdaş, işçi","staff"," noun"," intermediate"
"tanımaq","recognize"," verb"," intermediate"
"göstərmək, bildirmək (əlamət)","indicate"," verb"," intermediate"
"xarakter, obraz","character"," noun"," intermediate"
"artım","growth"," noun"," intermediate"
"zərər, itki","loss"," noun"," intermediate"
"dərəcə","degree"," noun"," intermediate"
"-a maraqlı gəlmək, bilmək istəmək","wonder"," verb"," intermediate"
"hücum","attack"," noun"," intermediate"
"özü (qadın)","herself"," pronoun"," intermediate"
"rayon","region"," noun"," intermediate"
"televiziya","television"," noun"," intermediate"
"qutu, boks","box"," noun"," intermediate"
"TV","TV"," noun"," intermediate"
"məşq, təlim","training"," noun"," intermediate"
"olduqca","pretty"," adverb"," intermediate"
"ticarət","trade"," noun"," intermediate"
"razılaşma, məsələ","deal"," noun"," intermediate"
"seçki","election"," noun"," intermediate"
"hamı, hərkəs","everybody"," pronoun"," intermediate"
"fiziki","physical"," adjective"," intermediate"
"sərmək, qoymaq, yatırtmaq","lay"," verb"," intermediate"
"ümumi","general"," adjective"," intermediate"
"hiss","feeling"," noun"," intermediate"
"standart","standard"," noun"," intermediate"
""
